"New Post","Nueva publicacion"
"Manage Posts","Administrar publicaciones"
"This Post no longer exists.","Esta publicacion ya no existe."
"Back","Volver"
"Are you sure you want to delete this Post?","Quiere eliminar esta publicacion?"
"Delete Post","Eliminar publicacion"
"Please enter the title.","Por favor ingrese el titulo."
"Please enter content for your post.","Por favor ingrese el contenido de su publicacion."
"You saved the Post.","Haz guardado la publicacion"
"Something went wrong while saving the Post.","Algo salio mal al guardar la publicacion"
"Delete items","Borra elementos"
"Are you sure you want to delete selected items?","Deseas eliminar los elementos seleccionados?"
